dataset,model,dx,label,acc_mean,acc_std,n_folds_seen,n_images
BW,Coarse Gaussian SVM,SK,BENIGN,1.0,,1,1
BW,Coarse Gaussian SVM,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Coarse KNN,AK,MALIGNANT,0.0,0.0,4,5
BW,Coarse KNN,ANGIOMA,BENIGN,1.0,0.0,2,3
BW,Coarse KNN,BCC,MALIGNANT,0.0,0.0,5,31
BW,Coarse KNN,CYST,BENIGN,1.0,0.0,5,40
BW,Coarse KNN,DERMATOFIBROMA,BENIGN,1.0,0.0,5,21
BW,Coarse KNN,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Coarse KNN,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Coarse KNN,FIBROMA,BENIGN,1.0,,1,1
BW,Coarse KNN,HEMANGIOMA,BENIGN,1.0,,1,1
BW,Coarse KNN,KA,MALIGNANT,0.0,,1,1
BW,Coarse KNN,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Coarse KNN,LIPOMA,BENIGN,1.0,0.0,5,26
BW,Coarse KNN,LYMPHOMA,MALIGNANT,0.0,0.0,2,3
BW,Coarse KNN,MERKEL,MALIGNANT,0.0,,1,1
BW,Coarse KNN,METASTASIS,MALIGNANT,0.0,0.0,3,4
BW,Coarse KNN,NEUROFIBROMA,BENIGN,1.0,,1,2
BW,Coarse KNN,OSTEOMA,BENIGN,1.0,,1,1
BW,Coarse KNN,PILOMATRICOMA,BENIGN,1.0,,1,1
BW,Coarse KNN,SCC,MALIGNANT,0.0,0.0,4,11
BW,Coarse KNN,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Coarse KNN,SEBK,BENIGN,1.0,0.0,4,7
BW,Coarse KNN,SK,BENIGN,1.0,,1,1
BW,Coarse KNN,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Complex Tree,AK,MALIGNANT,0.375,0.4787135538781691,4,5
BW,Complex Tree,ANGIOMA,BENIGN,1.0,0.0,2,3
