dataset,model,k_features,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std
BW,Simple Tree,20,0.6935537439613527,0.07904806764908819,0.6407936507936508,0.06327661859702459,0.5666666666666667,0.1224744871391589,0.6797101449275362,0.12870430183754225,0.49140350877192984,0.09491600991473886,0.5137480798771121,0.05933814759288639
BW,Medium Tree,20,0.6436594202898551,0.0933711188029095,0.6523809523809524,0.09351752691750322,0.6166666666666667,0.12472191289246472,0.6706521739130434,0.11052447002863336,0.4965625293179473,0.09469649510273169,0.545909041619251,0.09869477214596963
BW,Complex Tree,20,0.6436594202898551,0.0933711188029095,0.6523809523809524,0.09351752691750322,0.6166666666666667,0.12472191289246472,0.6706521739130434,0.11052447002863336,0.4965625293179473,0.09469649510273169,0.545909041619251,0.09869477214596963
BW,Linear Discriminant Analysis,20,0.7121376811594202,0.10846957164622202,0.7085714285714286,0.08742905557150593,0.45,0.11303883305208778,0.8398550724637681,0.09554918698217824,0.615,0.18306040290327977,0.5126262626262627,0.12608067698286807
BW,Quadratic Discriminant Analysis,20,0.7223429951690822,0.06178715219874,0.7139682539682539,0.03777844470533089,0.5666666666666667,0.062360956446232345,0.7894927536231884,0.06712586027316376,0.5876923076923076,0.07989802837079954,0.57207696007696,0.04448601908910242
BW,Logistic Regression,20,0.7072463768115942,0.07730491091412696,0.6968253968253968,0.04321135224057516,0.35,0.097182531580755,0.8731884057971013,0.03652058889378012,0.5819047619047619,0.10512491220226003,0.4332950022114108,0.09910256659185596
BW,Linear SVM,20,0.6872886473429952,0.09524081192646379,0.6855555555555556,0.058395442585784205,0.3,0.06666666666666668,0.8818840579710144,0.060469266914076406,0.5807142857142857,0.16555479462303632,0.3937461300309598,0.09516641284883981
BW,Quadratic SVM,20,0.60618961352657,0.0880909918314009,0.6968253968253968,0.025152595516655746,0.2,0.1452966314513558,0.9492753623188406,0.04143761871158204,0.5828571428571429,0.3260649741185624,0.2772088592522029,0.18198249320190638
BW,Cubic SVM,20,0.6846014492753623,0.07230794185557948,0.6906349206349206,0.055037036019731665,0.25,0.10540925533894599,0.9152173913043479,0.04567804649880586,0.589047619047619,0.18806569991094388,0.34652390780873754,0.13486372782139847
BW,Fine Gaussian SVM,20,0.44447463768115947,0.17576733880304404,0.6574603174603174,0.02496457555725395,0.016666666666666666,0.03333333333333333,0.9833333333333332,0.03333333333333335,0.2,0.4,0.03076923076923077,0.06153846153846154
BW,Medium Gaussian SVM,20,0.7553442028985508,0.07220424541590789,0.6911111111111111,0.038363473641621,0.31666666666666665,0.08164965809277261,0.8822463768115941,0.0604106231903372,0.5984126984126983,0.10595758265573738,0.40367585630743524,0.08485754802435885
BW,Coarse Gaussian SVM,20,0.6972826086956522,0.036180191587018386,0.6741269841269841,0.02840161174139054,0.2833333333333333,0.08498365855987976,0.8731884057971013,0.05845585297027007,0.55,0.10973065354098012,0.3632775119617225,0.07333774882247782
BW,Fine KNN,20,0.6106884057971015,0.08012368025612765,0.6301587301587303,0.08538295750971955,0.55,0.1247219128924647,0.6713768115942029,0.1244426769085625,0.47201465201465204,0.11166084938655849,0.5008298368298367,0.09948380810597189
BW,Medium KNN,20,0.7360658212560388,0.06564563782947716,0.6799999999999999,0.07080752942470195,0.55,0.08498365855987973,0.7467391304347826,0.08522121158744365,0.533041958041958,0.09333175855448723,0.5383625070581592,0.08345596633121156
BW,Coarse KNN,20,0.7221769323671496,0.04745442784491272,0.6628571428571428,0.004665694748158418,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
