dataset,model,k_features,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
BW,Quadratic Discriminant Analysis,20,0.7881944444444444,0.6944444444444444,0.6666666666666666,0.7083333333333334,0.5333333333333333,0.5925925925925926,17,7,4,8,0
BW,Quadratic Discriminant Analysis,20,0.638888888888889,0.6666666666666666,0.5,0.75,0.5,0.5,18,6,6,6,1
BW,Quadratic Discriminant Analysis,20,0.6701388888888888,0.6944444444444444,0.5833333333333334,0.75,0.5384615384615384,0.56,18,6,5,7,2
BW,Quadratic Discriminant Analysis,20,0.7934782608695652,0.7714285714285715,0.5833333333333334,0.8695652173913043,0.7,0.6363636363636364,20,3,5,7,3
BW,Quadratic Discriminant Analysis,20,0.7210144927536233,0.7428571428571429,0.5,0.8695652173913043,0.6666666666666666,0.5714285714285714,20,3,6,6,4
BW,Logistic Regression,20,0.7743055555555556,0.75,0.4166666666666667,0.9166666666666666,0.7142857142857143,0.5263157894736842,22,2,7,5,0
BW,Logistic Regression,20,0.6041666666666666,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.5,0.4,20,4,8,4,1
BW,Logistic Regression,20,0.6215277777777778,0.6388888888888888,0.25,0.8333333333333334,0.42857142857142855,0.3157894736842105,20,4,9,3,2
BW,Logistic Regression,20,0.7681159420289855,0.7428571428571429,0.5,0.8695652173913043,0.6666666666666666,0.5714285714285714,20,3,6,6,3
BW,Logistic Regression,20,0.7681159420289855,0.6857142857142857,0.25,0.9130434782608695,0.6,0.35294117647058826,21,2,9,3,4
BW,Linear SVM,20,0.7743055555555556,0.7777777777777778,0.4166666666666667,0.9583333333333334,0.8333333333333334,0.5555555555555556,23,1,7,5,0
BW,Linear SVM,20,0.5729166666666667,0.6111111111111112,0.25,0.7916666666666666,0.375,0.3,19,5,9,3,1
BW,Linear SVM,20,0.5729166666666667,0.6388888888888888,0.25,0.8333333333333334,0.42857142857142855,0.3157894736842105,20,4,9,3,2
BW,Linear SVM,20,0.730072463768116,0.7142857142857143,0.3333333333333333,0.9130434782608695,0.6666666666666666,0.4444444444444444,21,2,8,4,3
BW,Linear SVM,20,0.7862318840579711,0.6857142857142857,0.25,0.9130434782608695,0.6,0.35294117647058826,21,2,9,3,4
BW,Quadratic SVM,20,0.6909722222222222,0.6666666666666666,0.0,1.0,0.0,0.0,24,0,12,0,0
BW,Quadratic SVM,20,0.5416666666666667,0.6944444444444444,0.25,0.9166666666666666,0.6,0.35294117647058826,22,2,9,3,1
