dataset,model,k_features,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,rank
BW,Medium Gaussian SVM,20,0.7553442028985508,0.07220424541590789,0.6911111111111111,0.038363473641621,0.31666666666666665,0.08164965809277261,0.8822463768115941,0.0604106231903372,0.5984126984126983,0.10595758265573738,0.40367585630743524,0.08485754802435885,1
Doppler,Subspace KNN,20,0.8259208937198068,0.07385324333886642,0.7480952380952381,0.09620750019607793,0.6,0.097182531580755,0.8231884057971014,0.12093310636496883,0.669120879120879,0.17234903630475953,0.6226592238171186,0.11218369379598954,1
BW+Doppler,Subspace KNN,20,0.8160628019323672,0.07477058651055257,0.7361904761904763,0.07099089895856957,0.5833333333333334,0.09128709291752769,0.8137681159420289,0.09309126724331895,0.6358857808857808,0.14032800725415312,0.6011424388815694,0.08959093292080468,1
