k,dataset,model,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std
5,BW,Simple Tree,0.6199426328502415,0.08776618742922172,0.6126984126984127,0.07770323606475955,0.4333333333333333,0.14337208778404378,0.7047101449275364,0.08837906462065555,0.43019480519480513,0.11038961038961038,0.4257477305303393,0.11627722116162821
5,BW,Medium Tree,0.5981884057971015,0.09634990634580837,0.6187301587301588,0.1126051480846123,0.5333333333333333,0.08498365855987973,0.6630434782608695,0.1552864905260164,0.4680952380952381,0.11213856022502877,0.49226884226884227,0.09349521558931205
5,BW,Complex Tree,0.5981884057971015,0.09634990634580837,0.6187301587301588,0.1126051480846123,0.5333333333333333,0.08498365855987973,0.6630434782608695,0.1552864905260164,0.4680952380952381,0.11213856022502877,0.49226884226884227,0.09349521558931205
5,BW,Linear Discriminant Analysis,0.6955917874396136,0.09911877210601223,0.669047619047619,0.08722796318325056,0.3166666666666667,0.12247448713915891,0.8485507246376811,0.09619957550884688,0.5331168831168831,0.17871186921319038,0.3905949656750572,0.14454210178510157
5,BW,Quadratic Discriminant Analysis,0.697705314009662,0.0858646284175767,0.6631746031746031,0.051185492559182005,0.3666666666666667,0.11303883305208781,0.8152173913043479,0.10602392797820567,0.5275641025641026,0.10430414990329,0.4148888888888889,0.08918173981286405
5,BW,Logistic Regression,0.702506038647343,0.08135122622010536,0.6688888888888889,0.057746808375450674,0.30000000000000004,0.10000000000000002,0.8568840579710144,0.06101604184064022,0.5202380952380953,0.1359229807256389,0.37556390977443604,0.11456238769768969
5,BW,Linear SVM,0.6984601449275363,0.09273441625688628,0.6409523809523809,0.040551128885862875,0.18333333333333332,0.097182531580755,0.8739130434782609,0.07373522230095651,0.4057142857142857,0.23503557891521248,0.24422232050715023,0.12554801530971577
5,BW,Quadratic SVM,0.48716787439613524,0.12033048479094967,0.6517460317460316,0.020759089173678462,0.03333333333333333,0.06666666666666667,0.9666666666666668,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.04444444444444444,0.08888888888888888
5,BW,Cubic SVM,0.6960446859903382,0.07661521768867992,0.6744444444444445,0.04306358274962806,0.14999999999999997,0.0816496580927726,0.941304347826087,0.05641712727113468,0.5499999999999999,0.348010216963685,0.22992063492063491,0.1252469467972604
5,BW,Fine Gaussian SVM,0.6278985507246377,0.060662518212610934,0.6404761904761905,0.04739098827535982,0.16666666666666669,0.14907119849998599,0.8826086956521738,0.11587067550745567,0.3435897435897436,0.2423924692285726,0.2066666666666667,0.15522385269166736
