dataset,model,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,error
BW,Simple Tree,0.6897891963109355,0.11000891489387914,0.7184873949579833,0.0857801691104191,0.6409090909090909,0.13205308223939957,0.7565217391304347,0.08952721861727825,0.5698426573426574,0.13972469402996146,0.5989459815546773,0.12218749600370447,
BW,Medium Tree,0.6903820816864294,0.06462312929733798,0.7131092436974791,0.05205907786781422,0.6242424242424243,0.12211782836127204,0.7565217391304347,0.058976782461958865,0.5568589743589742,0.08239301831742553,0.584575569358178,0.08495906577119479,
BW,Complex Tree,0.6903820816864294,0.06462312929733798,0.7131092436974791,0.05205907786781422,0.6242424242424243,0.12211782836127204,0.7565217391304347,0.058976782461958865,0.5568589743589742,0.08239301831742553,0.584575569358178,0.08495906577119479,
BW,Linear Discriminant Analysis,0.575098814229249,0.11053068343169616,0.6023529411764705,0.08824313690634905,0.46060606060606063,0.17917267271629675,0.6695652173913043,0.085199643227241,0.39975135975135967,0.143194901419099,0.4249331827592696,0.15325622342841363,
BW,Quadratic Discriminant Analysis,,,,,,,,,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 92 samples and 465 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization."
BW,Logistic Regression,0.7438076416337286,0.05687229860608028,0.7603361344537815,0.06231057021494234,0.5348484848484849,0.09186367509832798,0.8695652173913043,0.06148754619013456,0.6775901875901875,0.1371430697060363,0.5947215865751334,0.09982226698597563,
BW,Linear SVM,0.730566534914361,0.08796674334120758,0.7307563025210084,0.04439202394718915,0.3196969696969697,0.17331108142822796,0.9304347826086957,0.0347826086956522,0.5845238095238096,0.29981097597518463,0.4074853801169591,0.21169345092433933,
BW,Quadratic SVM,0.7016469038208168,0.03555140116612566,0.7487394957983193,0.03826990768650652,0.32121212121212117,0.14671173862921458,0.9565217391304348,0.038888138739126804,0.8333333333333333,0.13944333775567927,0.4352046783625731,0.15596762025202687,
BW,Cubic SVM,0.7668642951251646,0.0200510388006424,0.7312605042016807,0.03661166224830355,0.25,0.08860722131644512,0.9652173913043478,0.032536151189338634,0.82,0.15684387141358122,0.37058823529411766,0.11841578913187514,
BW,Fine Gaussian SVM,0.4913043478260869,0.048466944050495904,0.6608403361344538,0.022857142857142864,0.0,0.0,0.9826086956521738,0.034782608695652195,0.0,0.0,0.0,0.0,
BW,Medium Gaussian SVM,0.7984848484848486,0.0620735156830569,0.7778151260504201,0.07090485214741474,0.4833333333333333,0.12644027906075797,0.9217391304347826,0.06389973242043073,0.758095238095238,0.18198701705456144,0.5848739495798319,0.14052408559802596,
