dataset,model,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
BW,Logistic Regression,0.6679841897233201,0.6470588235294118,0.36363636363636365,0.782608695652174,0.4444444444444444,0.4,18,5,7,4,2
BW,Logistic Regression,0.7628458498023715,0.7941176470588235,0.5454545454545454,0.9130434782608695,0.75,0.631578947368421,21,2,5,6,3
BW,Logistic Regression,0.6956521739130435,0.8235294117647058,0.5454545454545454,0.9565217391304348,0.8571428571428571,0.6666666666666666,22,1,5,6,4
BW,Linear SVM,0.8405797101449276,0.7714285714285715,0.4166666666666667,0.9565217391304348,0.8333333333333334,0.5555555555555556,22,1,7,5,0
BW,Linear SVM,0.7826086956521738,0.7352941176470589,0.45454545454545453,0.8695652173913043,0.625,0.5263157894736842,20,3,6,5,1
BW,Linear SVM,0.5889328063241106,0.6470588235294118,0.0,0.9565217391304348,0.0,0.0,22,1,11,0,2
BW,Linear SVM,0.7628458498023716,0.7647058823529411,0.45454545454545453,0.9130434782608695,0.7142857142857143,0.5555555555555556,21,2,6,5,3
BW,Linear SVM,0.6778656126482214,0.7352941176470589,0.2727272727272727,0.9565217391304348,0.75,0.4,22,1,8,3,4
BW,Quadratic SVM,0.713768115942029,0.7142857142857143,0.3333333333333333,0.9130434782608695,0.6666666666666666,0.4444444444444444,21,2,8,4,0
BW,Quadratic SVM,0.7312252964426877,0.7352941176470589,0.2727272727272727,0.9565217391304348,0.75,0.4,22,1,8,3,1
BW,Quadratic SVM,0.6324110671936759,0.7058823529411765,0.09090909090909091,1.0,1.0,0.16666666666666666,23,0,10,1,2
BW,Quadratic SVM,0.7075098814229248,0.7941176470588235,0.5454545454545454,0.9130434782608695,0.75,0.631578947368421,21,2,5,6,3
BW,Quadratic SVM,0.7233201581027668,0.7941176470588235,0.36363636363636365,1.0,1.0,0.5333333333333333,23,0,7,4,4
BW,Cubic SVM,0.7355072463768115,0.6857142857142857,0.25,0.9130434782608695,0.6,0.35294117647058826,21,2,9,3,0
BW,Cubic SVM,0.7549407114624507,0.7352941176470589,0.2727272727272727,0.9565217391304348,0.75,0.4,22,1,8,3,1
BW,Cubic SVM,0.7747035573122529,0.7058823529411765,0.09090909090909091,1.0,1.0,0.16666666666666666,23,0,10,1,2
BW,Cubic SVM,0.7747035573122529,0.7352941176470589,0.2727272727272727,0.9565217391304348,0.75,0.4,22,1,8,3,3
BW,Cubic SVM,0.7944664031620552,0.7941176470588235,0.36363636363636365,1.0,1.0,0.5333333333333333,23,0,7,4,4
BW,Fine Gaussian SVM,0.5217391304347826,0.6571428571428571,0.0,1.0,0.0,0.0,23,0,12,0,0
BW,Fine Gaussian SVM,0.45454545454545453,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,1
BW,Fine Gaussian SVM,0.5217391304347826,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,2
BW,Fine Gaussian SVM,0.5434782608695652,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,3
BW,Fine Gaussian SVM,0.4150197628458498,0.6176470588235294,0.0,0.9130434782608695,0.0,0.0,21,2,11,0,4
BW,Medium Gaussian SVM,0.7789855072463768,0.7714285714285715,0.4166666666666667,0.9565217391304348,0.8333333333333334,0.5555555555555556,22,1,7,5,0
BW,Medium Gaussian SVM,0.7351778656126482,0.7352941176470589,0.5454545454545454,0.8260869565217391,0.6,0.5714285714285714,19,4,5,6,1
BW,Medium Gaussian SVM,0.7509881422924901,0.6764705882352942,0.2727272727272727,0.8695652173913043,0.5,0.35294117647058826,20,3,8,3,2
BW,Medium Gaussian SVM,0.8181818181818182,0.8235294117647058,0.5454545454545454,0.9565217391304348,0.8571428571428571,0.6666666666666666,22,1,5,6,3
BW,Medium Gaussian SVM,0.9090909090909092,0.8823529411764706,0.6363636363636364,1.0,1.0,0.7777777777777778,23,0,4,7,4
BW,Coarse Gaussian SVM,0.7101449275362319,0.7428571428571429,0.3333333333333333,0.9565217391304348,0.8,0.47058823529411764,22,1,8,4,0
BW,Coarse Gaussian SVM,0.7391304347826088,0.7941176470588235,0.6363636363636364,0.8695652173913043,0.7,0.6666666666666666,20,3,4,7,1
BW,Coarse Gaussian SVM,0.6442687747035573,0.6764705882352942,0.09090909090909091,0.9565217391304348,0.5,0.15384615384615385,22,1,10,1,2
