dataset,model,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,error,rank
BW,Medium Gaussian SVM,0.7984848484848486,0.0620735156830569,0.7778151260504201,0.07090485214741474,0.4833333333333333,0.12644027906075797,0.9217391304347826,0.06389973242043073,0.758095238095238,0.18198701705456144,0.5848739495798319,0.14052408559802596,,1
Doppler,Medium Gaussian SVM,0.8250329380764164,0.04869063277976746,0.7838655462184874,0.059452578899260144,0.5196969696969698,0.1260037750684351,0.9130434782608695,0.047628048478710105,0.7453968253968254,0.11080047279674787,0.6069998525726079,0.11592458671053571,,1
BW+Doppler,Medium Gaussian SVM,0.814822134387352,0.05530631616598614,0.7779831932773109,0.07729521214103734,0.4833333333333333,0.17091016548125543,0.9217391304347826,0.03253615118933865,0.7228571428571429,0.17397806570639524,0.5763157894736842,0.18087200292041666,,1
